タイトル,評価,値段,期限
ふくらみふくらむ 分冊版,（4.0）,150pt/165円（税込）,2/7まで
姫さま狸の恋算用,（3.5）,50pt/55円（税込）,2/7まで
転生した受付嬢のギルド日誌 コミック版（分冊版）,（3.2）,100pt/110円（税込）,2/6まで
四天王最弱だった俺。転生したので平穏な生活を望む コミック版 (分冊版),（3.3）,100pt/110円（税込）,2/6まで
ぷれじでんちゅ！～バナナはボーナスに入りますか？～,（4.2）,100pt/110円（税込）,1/30まで
デッキひとつで異世界探訪 コミック版（分冊版）,（3.4）,100pt/110円（税込）,2/6まで
デビダン! 目指せダンジョンニート物語 コミック版 (分冊版),（3.7）,100pt/110円（税込）,2/6まで
テイマーさんのVRMMO育成日誌 コミック版 (分冊版),（3.5）,100pt/110円（税込）,2/6まで
落日のパトス,（4.5）,250pt/275円（税込）,購入済み
ぼくたちは勉強ができない,（4.5）,380pt/418円（税込）,2/6まで
2.5次元の誘惑,（4.7）,570pt/627円（税込）,2/6まで
優等生と秘密のお仕事,（5.0）,262pt/288円（税込）,2/5まで
ドラゴン桜2,（3.2）,570pt/627円（税込）,1/31まで
ぱンすと。,（4.1）,262pt/288円（税込）,2/5まで
シガレット＆チェリー,（4.5）,262pt/288円（税込）,2/5まで
ニセコイ,（3.9）,380pt/418円（税込）,2/6まで
瞳ちゃんは人見知り【電子特別版】,（4.5）,262pt/288円（税込）,2/5まで
高嶺の華は乱れ咲き,（5.0）,262pt/288円（税込）,購入済み
いちご100％ モノクロ版,（3.7）,371pt/408円（税込）,2/6まで
恋愛志向生徒会,（4.8）,262pt/288円（税込）,2/5まで
星姫村のないしょ話,（4.0）,262pt/288円（税込）,2/5まで
フリクションガール,"
                        初レビュー募集中！
                      ",300pt/330円（税込）,2/5まで
三日月がわらってる,（4.3）,262pt/288円（税込）,2/5まで
黄昏のエトス(話売り),（5.0）,75pt/82円（税込）,2/5まで
姉のおなかをふくらませるのは僕,（4.0）,250pt/275円（税込）,2/5まで
初恋限定。,（4.3）,371pt/408円（税込）,2/6まで
あさこ(話売り),"
                        初レビュー募集中！
                      ",75pt/82円（税込）,2/5まで
ロザリオとバンパイア,（3.3）,371pt/408円（税込）,2/6まで
SCHOOLMATE Kiss,（5.0）,250pt/275円（税込）,2/5まで
ロザリオとバンパイア season II,（4.5）,416pt/457円（税込）,2/6まで
